topic,top_words
0,sewer; homeless; homeless encampment; encampment; use; partial; driveway partial; partial access; street; condition; sewer sewer; street condition
1,blocked; access; driveway; blocked driveway; driveway access; illegal; illegal parking; parking; parking blocked; hydrant; blocked hydrant; sidewalk
2,talking; loud talking; loud; noise; noise residential; residential; residential loud; sidewalk; condition; sidewalk condition; broken; broken sidewalk
3,vehicle; truck; car; car truck; noise vehicle; vehicle car; parking; truck music; noise; illegal parking; illegal; violation
4,water; hot water; hot; heat hot; heat; noise; banging; pounding; banging pounding; residential banging; residential; noise residential
5,music; noise; party; music party; loud music; loud; noise residential; residential; residential loud; park; park loud; noise park
6,noise; loud; music; party; loud music; music party; noise commercial; commercial; commercial loud; street; street sidewalk; noise street
