topic,top_words
0,residential loud; residential; noise residential; loud music; music party; party; music; loud; noise; loud talking; talking; television
1,water; hot water; hot; heat hot; heat; building; entire; water entire; entire building; apartment; water apartment; hydrant
2,pounding; banging; banging pounding; residential banging; noise residential; residential; noise; talking; loud talking; commercial banging; residential loud; noise commercial
3,driveway; access; blocked driveway; driveway access; blocked; partial; driveway partial; partial access; blocked sidewalk; parking blocked; sidewalk; use indoor
4,commercial loud; noise commercial; commercial; party; music party; loud music; music; loud; noise; overnight; overnight parking; parking commercial
5,parking; illegal parking; illegal; parking blocked; hydrant; blocked hydrant; blocked; overnight parking; overnight; commercial overnight; parking commercial; blocked sidewalk
6,street sidewalk; sidewalk loud; noise street; street; sidewalk; loud talking; talking; loud; noise; loud music; party; music party
